+1  1:-1.000000 2:-0.847218 3:-0.321429 4:0.000000 5:0.230769 6:-0.250000 7:-0.885965 8:1.000000 9:1.000000 10:-0.820896 11:1.000000 12:0.000000 13:-0.960000 14:-0.988000
+1  1:1.000000 2:0.137744 3:0.071429 4:0.000000 5:0.076923 6:-0.250000 7:-0.403509 8:1.000000 9:1.000000 10:-0.731343 11:-1.000000 12:0.000000 13:-1.000000 14:-1.000000
+1  1:1.000000 2:-0.403609 3:-0.803571 4:0.000000 5:-0.076923 6:-0.250000 7:-0.701754 8:1.000000 9:1.000000 10:-0.820896 11:-1.000000 12:0.000000 13:-0.796000 14:-1.000000
+1  1:-1.000000 2:-0.761805 3:-0.178571 4:-1.000000 5:-0.384615 6:-0.500000 7:-1.000000 8:1.000000 9:1.000000 10:-0.671642 11:1.000000 12:0.000000 13:-1.000000 14:-1.000000
+1  1:1.000000 2:-0.806917 3:-0.416429 4:0.000000 5:-0.230769 6:-0.250000 7:-0.862456 8:1.000000 9:1.000000 10:-0.582090 11:-1.000000 12:0.000000 13:-0.940000 14:-0.996840
+1  1:-1.000000 2:-0.937444 3:-0.958214 4:0.000000 5:0.076923 6:0.750000 7:-0.894737 8:1.000000 9:1.000000 10:-0.940299 11:-1.000000 12:0.000000 13:-0.900000 14:-1.000000
+1  1:-1.000000 2:-0.787068 3:-0.785714 4:0.000000 5:-0.230769 6:-0.250000 7:-0.997193 8:1.000000 9:-1.000000 10:-1.000000 11:-1.000000 12:0.000000 13:-0.900000 14:-1.000000
+1  1:-1.000000 2:0.350977 3:-0.681429 4:0.000000 5:0.538462 6:0.750000 7:-0.786667 8:1.000000 9:1.000000 10:-0.820896 11:-1.000000 12:0.000000 13:-0.957000 14:-0.988800
+1  1:-1.000000 2:0.343459 3:0.500000 4:0.000000 5:-0.692308 6:0.000000 7:-0.298246 8:1.000000 9:1.000000 10:-0.611940 11:-1.000000 12:0.000000 13:-1.000000 14:-0.866000
-1  1:-1.000000 2:0.263158 3:-0.494286 4:0.000000 5:-0.538462 6:0.750000 7:-0.526316 8:1.000000 9:1.000000 10:-0.910448 11:1.000000 12:0.000000 13:-0.900000 14:-0.999000
